15N,1H,i
100.743,6.27395,8.18558e-05
100.743,6.29352,4.81717e-05
100.743,6.33266,0.000464004
100.743,6.39136,0.000248857
100.743,6.41093,0.00040612
100.743,6.4305,0.000440665
100.743,6.50877,0.00028291
100.743,6.58704,0.00058699
100.743,6.60661,0.000691611
100.743,6.62618,0.000346269
100.743,6.64575,0.000811372
100.743,6.74359,0.000323337
100.743,6.76316,0.000634089
100.743,6.80229,0.000614513
100.743,6.9197,5.74887e-05
100.743,6.95884,0.00117993
100.743,6.9784,0.000117689
100.743,6.99797,5.53317e-05
100.743,7.01754,0.000442941
100.743,7.11538,0.000127476
100.743,7.25236,0.000374749
100.743,7.4089,0.000149768
100.743,7.42847,0.000248138
100.743,7.46761,0.000593003
100.743,7.54588,0.000531882
100.743,7.56545,0.00100704
100.743,7.58502,0.000501722
100.743,7.68286,0.000522196
100.743,7.70242,0.000198402
100.743,7.74156,0.000274342
100.743,7.76113,0.000183202
100.743,7.81983,0.000965402
100.743,7.8394,0.000764236
100.743,7.87854,0.000399936
100.743,7.91767,0.00063261
100.743,8.11335,0.00045079
100.743,8.17206,0.00013927
100.743,8.19163,0.000100411
100.743,8.23076,0.000421528
100.743,8.25033,0.000612207
100.743,8.2699,0.000271108
100.743,8.28947,0.000566605
100.743,8.30903,0.000248518
100.743,8.3286,0.000120096
100.743,8.34817,0.000850704
100.743,8.36774,0.000942152
100.743,8.38731,0.000583634
100.743,8.40688,0.000146274
100.743,8.48515,0.000322919
100.743,8.60256,0.000193767
100.743,8.64169,4.88013e-05
100.743,8.66126,0.000401035
100.743,8.71996,0.000384796
100.743,8.77867,0.00140567
100.743,8.79824,0.000256564
100.743,8.81781,0.000539172
100.743,8.89608,0.00013179
100.743,8.95478,0.000128575
100.743,8.97435,0.000438347
100.743,8.99392,0.000368457
100.743,9.01349,0.000748537
100.743,9.13089,0.00030648
100.743,9.15046,0.000277121
100.743,9.22874,0.000177011
100.743,9.28744,0.000104986
100.743,9.30701,0.000304043
100.743,9.32658,5.31338e-05
100.743,9.34614,0.000422645
100.743,9.36571,0.000260383
100.743,9.42442,0.000218917
100.743,9.44398,0.000151724
100.743,9.50269,0.000560306
100.743,9.52226,0.00039636
100.743,9.54182,0.000570532
100.743,9.58096,0.000423685
100.743,9.6201,0.000758283
100.743,9.63966,0.000554871
100.743,9.65923,0.00054995
100.743,9.75707,0.000332944
100.743,9.77664,0.000249725
100.743,9.79621,0.000289224
100.743,9.85491,0.000431843
100.743,9.95275,0.000762437
100.743,9.97232,0.000866693
100.743,10.0115,0.000530634
100.743,10.031,0.000581197
100.743,10.0506,0.00022462
100.743,10.0702,0.000399817
100.743,10.0897,0.000826843
100.743,10.1289,7.35782e-05
100.743,10.1484,3.86536e-05
100.743,10.168,0.000933062
100.743,10.1876,0.000723012
100.743,10.2658,8.0727e-06
100.743,10.305,0.000134427
100.743,10.3441,0.000125278
100.743,10.3637,0.00114591
100.743,10.4224,0.000673275
100.743,10.5007,0.00107554
100.743,10.5594,5.78687e-05
100.743,10.5789,0.000375271
100.743,10.6572,0.000162032
100.743,10.7159,0.00023156
