15N,1H,i
100.81,6.70445,0.000111863
100.81,6.72402,0.000807315
100.81,6.76316,0.000178229
100.81,6.80229,0.000558332
100.81,6.84143,0.0007645
100.81,6.88056,0.00050097
100.81,6.9197,0.000416037
100.81,6.95884,0.000848141
100.81,7.01754,0.000305191
100.81,7.11538,4.86337e-05
100.81,7.15452,0.000441
100.81,7.17409,0.000512052
100.81,7.23279,0.000456978
100.81,7.33063,0.000201691
100.81,7.42847,5.0135e-05
100.81,7.44804,0.000221044
100.81,7.48717,4.97214e-05
100.81,7.50674,0.00019018
100.81,7.52631,0.000614401
100.81,7.54588,0.000120047
100.81,7.58502,0.00047699
100.81,7.68286,0.00115024
100.81,7.70242,0.00198088
100.81,7.72199,0.000304986
100.81,7.8394,0.000141419
100.81,7.8981,0.000187144
100.81,8.15249,0.000678413
100.81,8.19163,5.99734e-05
100.81,8.23076,0.00119582
100.81,8.28947,0.00044699
100.81,8.30903,0.000247136
100.81,8.34817,0.000154097
100.81,8.38731,0.000310089
100.81,8.42644,0.000669405
100.81,8.46558,0.000574265
100.81,8.54385,0.000228249
100.81,8.62212,0.000263348
100.81,8.7591,0.000425387
100.81,8.83737,9.35048e-05
100.81,8.85694,0.000867262
100.81,8.89608,0.000818815
100.81,8.91565,0.000476837
100.81,8.93521,0.000182156
100.81,8.97435,0.000377104
100.81,8.99392,5.63264e-05
100.81,9.01349,0.000208482
100.81,9.05262,0.000381973
100.81,9.07219,0.000313539
100.81,9.15046,0.000340279
100.81,9.17003,0.000423241
100.81,9.2483,0.000531912
100.81,9.30701,4.41894e-05
100.81,9.34614,0.000307973
100.81,9.46355,0.000272803
100.81,9.48312,6.28121e-05
100.81,9.50269,0.000164893
100.81,9.56139,0.000101656
100.81,9.58096,0.000647202
100.81,9.75707,0.000173356
100.81,9.85491,0.000466134
100.81,10.031,0.00044721
100.81,10.0506,0.000287794
100.81,10.168,0.000173137
100.81,10.1876,0.000526372
100.81,10.2463,0.000139423
100.81,10.3245,0.000639338
100.81,10.3833,0.000150472
100.81,10.442,0.000256792
100.81,10.4615,4.62793e-05
100.81,10.4811,0.000361167
100.81,10.5007,0.000155829
100.81,10.5202,0.000219658
100.81,10.6572,0.000177816
100.81,10.6768,0.000203125
100.81,10.6963,0.000382137
100.81,10.7942,3.17767e-05
100.81,10.8333,0.000112969
100.81,10.8725,0.00051016
100.81,10.892,0.000342231
100.81,10.9507,0.000434335
100.81,10.9703,0.000731803
100.878,6.0587,0.000235025
100.878,6.07827,0.00132428
100.878,6.09784,0.00148024
100.878,6.11741,0.000643034
100.878,6.13698,0.000544511
100.878,6.25439,0.000646047
100.878,6.27395,0.000573479
100.878,6.35223,0.00130445
100.878,6.37179,0.000386514
100.878,6.41093,0.000117969
100.878,6.4305,0.000749629
100.878,6.45007,0.000137437
100.878,6.4892,0.000132333
100.878,6.50877,0.000573896
100.878,6.52834,0.000117958
100.878,6.62618,0.000227693
100.878,6.66532,0.001219
100.878,6.68488,0.000846755
100.878,6.70445,0.000332627
100.878,6.72402,0.000657212
100.878,6.76316,0.000173841
100.878,6.78272,0.000276279
100.878,6.80229,0.000883058
100.878,6.84143,0.000691712
100.878,6.88056,0.000709355
100.878,6.9197,0.000433169
100.878,6.95884,0.000830084
100.878,7.01754,0.000489932
100.878,7.03711,9.26964e-05
100.878,7.11538,3.89367e-05
100.878,7.15452,0.000491709
100.878,7.17409,0.000377748
100.878,7.23279,0.000744712
100.878,7.29149,0.000126272
100.878,7.31106,9.498e-05
100.878,7.33063,0.000300158
100.878,7.3502,0.00010334
100.878,7.42847,3.17544e-05
100.878,7.44804,0.000317845
100.878,7.48717,0.000122506
100.878,7.50674,0.000227313
100.878,7.52631,0.000663172
100.878,7.54588,0.000100605
100.878,7.58502,0.000546496
100.878,7.66329,0.000132773
100.878,7.68286,0.00124205
100.878,7.70242,0.0019062
100.878,7.72199,0.000347566
100.878,7.74156,6.5852e-05
100.878,7.7807,0.000110291
100.878,7.8394,0.000293646
100.878,7.8981,0.000137448
100.878,8.09379,0.000172492
100.878,8.15249,0.000668436
100.878,8.23076,0.00124792
100.878,8.28947,0.000529848
100.878,8.30903,0.000158463
100.878,8.34817,0.000283971
100.878,8.38731,0.000422779
100.878,8.42644,0.000824124
100.878,8.46558,0.000665341
100.878,8.54385,0.000111677
100.878,8.60256,0.00014516
100.878,8.62212,0.000356827
100.878,8.7004,0.000149734
100.878,8.7591,0.000407424
100.878,8.79824,4.14997e-05
100.878,8.83737,5.3186e-05
100.878,8.85694,0.000891093
100.878,8.89608,0.00102194
100.878,8.91565,0.0005893
100.878,8.93521,0.00039313
100.878,8.97435,0.000443239
100.878,8.99392,6.03907e-05
100.878,9.01349,0.000197764
100.878,9.05262,0.000333942
100.878,9.07219,0.000532087
100.878,9.15046,0.000342961
100.878,9.17003,0.000404026
100.878,9.2483,0.000609133
100.878,9.30701,7.5642e-05
100.878,9.34614,0.000392307
100.878,9.36571,8.6762e-05
100.878,9.46355,0.000490014
100.878,9.48312,0.000214301
100.878,9.50269,0.000115659
100.878,9.56139,0.000198089
100.878,9.58096,0.000805896
100.878,9.63966,5.18225e-05
100.878,9.6788,1.47112e-05
100.878,9.75707,0.00032346
100.878,9.85491,0.00065466
100.878,10.031,0.000558238
100.878,10.0506,0.000235047
100.878,10.168,0.000321854
100.878,10.1876,0.000540964
100.878,10.3245,0.000822511
100.878,10.3833,0.000346389
100.878,10.4028,7.90134e-06
100.878,10.442,0.000179708
100.878,10.4615,2.78987e-05
100.878,10.4811,0.000252958
100.878,10.5007,5.23776e-05
100.878,10.5202,0.000382923
100.878,10.6572,0.000214022
100.878,10.6768,0.000232127
100.878,10.6963,0.000321172
100.878,10.7942,0.000301775
100.878,10.8138,3.59342e-05
100.878,10.8333,6.0875e-05
100.878,10.8529,8.58121e-05
100.878,10.8725,0.000660539
100.878,10.892,0.000336692
100.878,10.9312,0.000119507
100.878,10.9507,0.000423253
100.878,10.9703,0.000797939
100.945,6.0,0.000322212
100.945,6.0587,0.000118639
100.945,6.07827,0.00116633
100.945,6.09784,0.00160198
100.945,6.11741,0.000760712
100.945,6.13698,0.000616238
100.945,6.25439,0.000841871
100.945,6.27395,0.000766348
100.945,6.33266,7.81119e-05
100.945,6.35223,0.00144411
100.945,6.37179,0.000597298
100.945,6.41093,0.000240084
100.945,6.4305,0.000815395
100.945,6.45007,9.06065e-05
100.945,6.4892,0.000169929
100.945,6.50877,0.000465639
100.945,6.52834,0.000121653
100.945,6.62618,0.000317663
100.945,6.66532,0.00133946
100.945,6.68488,0.00100203
100.945,6.70445,0.000593662
100.945,6.72402,0.000463143
100.945,6.76316,9.27895e-05
100.945,6.78272,0.000526879
100.945,6.80229,0.00118635
100.945,6.84143,0.000502542
100.945,6.88056,0.000883564
100.945,6.9197,0.000422962
100.945,6.95884,0.000761591
100.945,6.9784,1.89394e-05
100.945,7.01754,0.000627376
100.945,7.03711,0.000266537
100.945,7.11538,9.86978e-05
100.945,7.13495,3.298e-05
100.945,7.15452,0.000468526
100.945,7.17409,0.000241965
100.945,7.23279,0.000988845
100.945,7.29149,0.000378255
100.945,7.31106,0.000123154
100.945,7.33063,0.00038828
100.945,7.3502,0.000211507
100.945,7.44804,0.000432387
100.945,7.48717,0.000224855
100.945,7.50674,0.000252623
100.945,7.52631,0.000611443
100.945,7.54588,6.78599e-05
100.945,7.58502,0.000533242
100.945,7.66329,0.000231702
100.945,7.68286,0.00133239
100.945,7.70242,0.00160725
100.945,7.72199,0.000321425
100.945,7.74156,0.000329889
100.945,7.7807,0.000260483
100.945,7.8394,0.000400055
100.945,7.85897,0.000120085
100.945,7.8981,4.48935e-05
100.945,8.07422,0.00012701
100.945,8.09379,0.00033414
100.945,8.15249,0.000581607
100.945,8.23076,0.00119065
100.945,8.28947,0.000523288
100.945,8.30903,0.000134815
100.945,8.34817,0.000339948
100.945,8.38731,0.000514042
100.945,8.42644,0.000827357
100.945,8.44601,0.000105396
100.945,8.46558,0.000707649
100.945,8.54385,8.96938e-05
100.945,8.58299,1.65366e-05
100.945,8.60256,0.000337984
100.945,8.62212,0.000422962
100.945,8.7004,0.000354979
100.945,8.7591,0.000257183
100.945,8.79824,0.000114519
100.945,8.85694,0.000808515
100.945,8.89608,0.00113786
100.945,8.91565,0.000645597
100.945,8.93521,0.000531681
100.945,8.97435,0.000518244
100.945,8.99392,6.66715e-05
100.945,9.01349,0.00022991
100.945,9.05262,0.000225317
100.945,9.07219,0.000642747
100.945,9.09176,6.7018e-05
100.945,9.11133,0.000130579
100.945,9.15046,0.000227407
100.945,9.17003,0.000378903
100.945,9.2483,0.000658274
100.945,9.30701,5.68442e-05
100.945,9.34614,0.000552017
100.945,9.36571,0.000185043
100.945,9.46355,0.000693917
100.945,9.48312,0.000333272
100.945,9.50269,8.04663e-05
100.945,9.56139,0.00019107
100.945,9.58096,0.000944633
100.945,9.63966,6.77109e-05
100.945,9.73751,0.000125267
100.945,9.75707,0.000474297
100.945,9.85491,0.000815108
100.945,9.87448,4.17233e-07
100.945,10.031,0.000611629
100.945,10.0506,0.000188217
100.945,10.168,0.00049828
100.945,10.1876,0.000490531
100.945,10.3245,0.000939909
100.945,10.3833,0.000521615
100.945,10.4028,1.017e-06
