empirical_peak_idx,theoretical_peak_idx,flow,25C_15N,25C_1H,30C_15N,30C_1H
150,130,0.00033680777996778486,109.785,8.30903,109.785,8.34817
107,93,0.00023444294929504393,109.246,7.80026,109.246,7.81983
111,93,1.2624543160200119e-05,109.313,7.80026,109.246,7.81983
111,94,0.00036891885101795194,109.313,7.80026,109.246,7.8394
111,97,8.974866941571235e-05,109.313,7.80026,109.313,7.81983
115,97,9.848708286881447e-05,109.381,7.80026,109.313,7.81983
115,98,0.0006589611992239952,109.381,7.80026,109.313,7.8394
116,101,0.000295883696526289,109.381,7.81983,109.381,7.81983
120,97,0.00021269163116812705,109.448,7.7807,109.313,7.81983
120,101,9.744381532073021e-05,109.448,7.7807,109.381,7.81983
121,101,0.00017440533265471457,109.448,7.80026,109.381,7.81983
121,102,0.0008828815072774886,109.448,7.80026,109.381,7.8394
122,102,7.938221096992493e-05,109.448,7.81983,109.381,7.8394
122,105,0.00033712070435285566,109.448,7.81983,109.448,7.81983
126,105,0.0003859628923237324,109.516,7.7807,109.448,7.81983
127,102,1.5623029321432112e-05,109.516,7.80026,109.381,7.8394
127,106,0.0012788702733814716,109.516,7.80026,109.448,7.8394
127,109,3.1649228185415267e-05,109.516,7.80026,109.516,7.81983
128,109,0.0005257096141576767,109.516,7.81983,109.516,7.81983
132,109,0.00028505735099315643,109.583,7.7807,109.516,7.81983
132,113,0.0001541057601571083,109.583,7.7807,109.583,7.81983
133,110,0.0015123945660889147,109.583,7.80026,109.516,7.8394
133,114,7.245875895023346e-06,109.583,7.80026,109.583,7.8394
134,113,0.0005776620469987393,109.583,7.81983,109.583,7.81983
134,114,2.7730409055948257e-05,109.583,7.81983,109.583,7.8394
138,113,0.0001721980981528759,109.65,7.7807,109.583,7.81983
138,118,0.0002888498827815056,109.65,7.7807,109.65,7.81983
139,114,0.0016031993553042411,109.65,7.80026,109.583,7.8394
140,115,0.00025757225230336187,109.65,7.81983,109.583,7.85897
140,118,0.00031319428235292434,109.65,7.81983,109.65,7.81983
140,119,7.141381502151489e-05,109.65,7.81983,109.65,7.8394
143,118,0.0002949608489871025,109.718,7.7807,109.65,7.81983
143,123,0.000151869747787714,109.718,7.7807,109.718,7.81983
144,119,0.0015625610947608947,109.718,7.80026,109.65,7.8394
145,120,0.00026210350915789604,109.718,7.81983,109.65,7.85897
145,123,0.0002722305245697498,109.718,7.81983,109.718,7.81983
145,124,9.489655494689941e-05,109.718,7.81983,109.718,7.8394
147,123,0.0003990763798356056,109.785,7.7807,109.718,7.81983
147,128,1.5528872609138487e-06,109.785,7.7807,109.785,7.81983
148,124,0.0014059835113584996,109.785,7.80026,109.718,7.8394
149,125,0.00020449915900826453,109.785,7.81983,109.718,7.85897
149,128,0.0003648905083537102,109.785,7.81983,109.785,7.81983
151,128,0.00032998099923133847,109.85299999999998,7.7807,109.785,7.81983
