15N,1H,i
100.945,7.56545,9.52296e-05
100.945,7.64372,0.000706784
100.945,7.66329,0.00166532
100.945,7.68286,0.00148347
100.945,7.70242,9.63435e-05
100.945,7.76113,0.00012482
100.945,7.80026,0.000175677
100.945,7.87854,0.00102418
100.945,7.8981,0.000919413
100.945,7.91767,0.000488825
100.945,7.93724,0.000344925
100.945,7.95681,0.000486121
100.945,7.99595,0.000160988
100.945,8.01551,0.000428714
100.945,8.03508,0.000506379
100.945,8.05465,0.000470344
100.945,8.07422,0.000189941
100.945,8.11335,1.08555e-05
100.945,8.13292,0.000810537
100.945,8.17206,0.000515953
100.945,8.30903,0.000367172
100.945,8.3286,0.00107633
100.945,8.34817,0.000617955
100.945,8.40688,8.14795e-05
100.945,8.42644,0.000812184
100.945,8.44601,0.0001802
100.945,8.46558,0.000417076
100.945,8.48515,0.000624202
100.945,8.52428,1.94088e-05
100.945,8.54385,0.00023926
100.945,8.56342,0.000444956
100.945,8.64169,0.000177573
100.945,8.73953,0.00015619
100.945,8.77867,0.000624534
100.945,8.89608,8.16286e-05
100.945,8.93521,0.000233695
100.945,8.95478,1.14813e-05
100.945,8.99392,0.000318822
100.945,9.05262,7.27959e-05
100.945,9.22874,3.64445e-05
100.945,9.2483,0.000554055
100.945,9.38528,6.65933e-05
100.945,9.40485,0.000355825
100.945,9.42442,0.000377301
100.945,9.52226,0.000347126
100.945,9.56139,0.000144761
100.945,9.63966,4.69722e-05
100.945,9.73751,0.000719737
100.945,9.75707,0.000716619
100.945,9.85491,0.000470676
100.945,9.93319,8.5406e-05
100.945,9.95275,0.00081104
100.945,10.031,0.000518896
100.945,10.1484,5.6278e-05
100.945,10.168,0.00046593
100.945,10.1876,0.000766974
100.945,10.305,5.98058e-05
100.945,10.3637,0.000896845
100.945,10.442,0.000521865
100.945,10.4615,0.000618964
100.945,10.4811,0.00125486
100.945,10.5007,0.000288792
100.945,10.5202,0.000547424
100.945,10.5594,0.000396073
100.945,10.5789,0.000121851
100.945,10.5985,0.000269968
100.945,10.6376,0.000363406
100.945,10.6963,0.000192594
100.945,10.7159,0.00114805
100.945,10.7355,0.00077986
100.945,10.8138,0.000332277
100.945,10.8333,7.38576e-05
100.945,10.8725,4.60073e-06
100.945,10.892,0.000750374
100.945,10.9507,0.000149705
101.013,6.0,0.000661071
101.013,6.01957,0.000655342
101.013,6.03914,0.000893984
101.013,6.21525,0.000458121
101.013,6.23482,0.000214867
101.013,6.31309,0.000627447
101.013,6.52834,1.31242e-05
101.013,6.66532,0.000548538
101.013,6.68488,0.000312749
101.013,6.78272,0.000862613
101.013,6.861,0.00047427
101.013,6.88056,0.000381187
101.013,6.90013,0.000152346
101.013,6.9197,2.34134e-05
101.013,6.93927,0.000410367
101.013,6.9784,7.78362e-05
101.013,6.99797,8.14795e-05
101.013,7.01754,0.000220887
101.013,7.11538,0.000620514
101.013,7.13495,0.00013585
101.013,7.17409,0.000209458
101.013,7.29149,0.000243612
101.013,7.33063,0.000472918
101.013,7.3502,0.000721633
101.013,7.36977,0.000780284
101.013,7.38933,0.000672843
101.013,7.4089,0.000158124
101.013,7.44804,0.000292823
101.013,7.54588,0.000107586
101.013,7.56545,7.52881e-05
101.013,7.58502,0.000134632
101.013,7.60458,3.91155e-06
101.013,7.64372,0.000576541
101.013,7.66329,0.00154505
101.013,7.68286,0.00150893
101.013,7.70242,0.000246741
101.013,7.76113,0.000163004
101.013,7.80026,0.0001061
101.013,7.87854,0.00117765
101.013,7.8981,0.00103932
101.013,7.91767,0.000493705
101.013,7.93724,0.000491768
101.013,7.95681,0.000489835
101.013,7.99595,0.000163533
101.013,8.01551,0.000682574
101.013,8.03508,0.000740033
101.013,8.05465,0.000744887
101.013,8.07422,0.000451069
